Question,Answer
Kya aap log gents rings banate hain?,Ji haan! Hum mardon ke liye gold ya silver mein customized rings bhi tayyar karte hain.
Order par jewelry kitne din mein tayyar hoti hai?,Design agar aasan ho toh 5 se 7 din lagte hain aur agar heavy bridal set ho toh 10 se 15 din lag sakte hain.
Kya main apni pasand ka design laa sakta hoon?,Ji bilkul! Aap internet se ya kisi bhi jagah se apni pasand ka design laa sakte hain hum bilkul waisa hi tayyar kar dein ge.
Agar order emergency mein chahiye ho toh?,Agar aap ko jaldi chahiye toh hum karigar se baat kar ke kam se kam waqt mein tayyar karwane ki koshish karenge.
Order dene ke liye advanced payment karni hoti hai?,Ji haan! Order confirm karne ke liye kuch advanced (biyana) dena hota hai aur baqi payment delivery ke waqt hoti hai.
Kya aap sone ki purity ka certificate dete hain?,Ji bilkul! Hamari shop se khareede gaye har gold item ki raseed aur purity certificate diya jata hai.
Agar sone mein milaawat ho toh?,Ahmad Raza sahib ki shop apni imandari ke liye jani jati hai. Hum computerized testing karwa ke pure gold ki guarantee dete hain.
Kya aap purani jewelry ka gold check kar sakte hain?,Ji haan! Agar aap ke paas koi purani jewelry hai toh hum uski karat aur purity check kar ke bata sakte hain.
Karat test karne ke kya charges hain?,Agar aap hamare customer hain ya hum se exchange kar rahe hain toh purity testing bilkul free hai.
Sone par kaat kitni hoti hai?,Sona bechte ya exchange karte waqt kaat market ke usoolon aur sone ki halat ko dekh kar tay ki jaati hai.
Purana sona exchange karne par naye design ki mazdoori deni hogi?,Ji haan! Purana sona exchange ho jayega lekin jo naye designs aap lengi unke making charges (mazdoori) alag se lagenge.
Kya aap log chandi ke bartan ya jewelry lete hain?,Hum zyadatar gold mein deal karte hain chandi ka kaam sirf special orders par hota hai.
Payment ke liye cash zaroori hai?,Nahi! Aap cash bhi de sakte hain aur agar online transfer ya credit card use karna chahein toh woh sahulat bhi hai.
Kya check accept karte hain?,Check clear hone ke baad hi jewelry deliver ki jaati hai isliye cash ya online transfer ko tarjeeh di jaati hai.
Dukaan par rash kab hota hai?,Shaam ke waqt dukaan par zyadatar rash hota hai agar aap tasalli se design dekhna chahte hain toh doper ke waqt tashreef laayein.
Kya Ahmad Raza sahib se direct baat ho sakti hai?,Ji bilkul! Aap dukaan par aakar direct Ahmad Raza sahib se mil sakte hain ya unke number par baat kar sakte hain.
Gold and Jewelry Shop kab se bani hui hai?,Yeh Sarafa Bazar ki aik jani mani aur purani shop hai jo ke aala quality aur aitmad ka doosra naam hai.
Aap ki shop ki kya khususiyaat hain?,Hamari khususiyaat mein khalis sona, jadeed designs, behtareen karigari aur munasib mazdoori shamil hain.
Kya aap ke paas choti jewelry bhi hoti hai?,Ji haan! Hamare paas light weight rings, chains aur earrings bhi hote hain jo rozana pehn'ne ke liye behtareen hain.
Karat gold biscuit mil jayenge?,Ji haan! Investment ke liye 24K gold biscuits aur baars bhi hamari shop se mil jaate hain.
Sona khareedna investment ke liye kaisa hai?,Sona khareedna investment ke liye sab se mehfooz aur behtareen zariya mana jata hai.
Kya gold rate kam hone ka koi chance hai?,Gold rate international market, dollar ki qeemat aur halaat ke mutabiq badalta rehta hai is bare mein pehle se kuch kehna mushkil hota hai.
Shop par aane ka sab se behtareen time kya hai?,Aap Monday se Thursday doper subha 10 baje se rat 10 baje ke darmayan aayein toh sukoon se dealing ho sakti hai.
